,comment,Labeling,clean_text
322,Tumben X ini Disain SUZUKI sdh bagus biasa disain2 lain pada umumnya jelek2 😂😂,positif,tumben x ini disain suzuki sdh bagus biasa disain2 lain pada umumnya jelek2 
323,Coba nanti pas launching di indonesia bisa jadi 7 seater. Pasti laris manis banget laku terjual,positif,coba nanti pas launching di indonesia bisa jadi 7 seater pasti laris manis banget laku terjual
324,Ga salah harga lagi kan nanti 🤭,netral,ga salah harga lagi kan nanti 
325,Mantaapp nihh suzukiii....awass ada yg Jiplaakkkk merek sebelaahhh...hixixixixiiiii,positif,mantaapp nihh suzukiiiawass ada yg jiplaakkkk merek sebelaahhhhixixixixiiiii
326,"Ayo2 jangan lupa, apapun videonya koruptor komennya. 👌👍 Lanjutkan & tingkatkan ketifakpedulian akan konteks & relevansi",netral,ayo2 jangan lupa apapun videonya koruptor komennya  lanjutkan  tingkatkan ketifakpedulian akan konteks  relevansi
327,Untuk mobil EV tetap produk CHINA yg terdepan...😊😊😊,negatif,untuk mobil ev tetap produk china yg terdepan
328,"Gak mungkin bro, Sehebat-hebatnya produk Jepang itu selalu KALAH di Harga dengan mobil China. Mari kita BUKTIkan kalau gak prcaya",negatif,gak mungkin bro sehebathebatnya produk jepang itu selalu kalah di harga dengan mobil china mari kita buktikan kalau gak prcaya
329,"suzuki grand vitara EV sajalah, sy mau beli, gak usah neko neko,,",positif,suzuki grand vitara ev sajalah sy mau beli gak usah neko neko
330,susuki yamaha honda sudah kerjasama dengan cina bang😂,netral,susuki yamaha honda sudah kerjasama dengan cina bang
331,Pasti harga nya mahal,negatif,pasti harga nya mahal
332,"merk ternama harus segera ambil langkah cepat sebelum konsumen terlanjur pindah k produk china,, klu sdh nyaman susah kembali ke idola lama,, buatkan produk unggu harga bersaing,,jangan terlalu percaya diri konsumen tetap setia,,klu ads yg murah berkwalitas ngapain beli yg mahal kwalitas neda tipis😁😁😁",positif,merk ternama harus segera ambil langkah cepat sebelum konsumen terlanjur pindah k produk china klu sdh nyaman susah kembali ke idola lama buatkan produk unggu harga bersaingjangan terlalu percaya diri konsumen tetap setiaklu ads yg murah berkwalitas ngapain beli yg mahal kwalitas neda tipis
333,Tertarik,positif,tertarik
334,Semoga harganya ramah di kantong,positif,semoga harganya ramah di kantong
335,Semoga  terrealisasi jadi Mobil Listrik Suzuki,positif,semoga  terrealisasi jadi mobil listrik suzuki
336,i never trust Japanese friend 😅😅,negatif,i never trust japanese friend 
337,Soal quality suzuki  jangan di tanya,positif,soal quality suzuki  jangan di tanya
338,Hajar pakai apa???,netral,hajar pakai apa
339,Cina mobil listrik makin didepan jauh meninggalkan pabrik otomotif dari jepang dan eropa itu kenyataannya.,netral,cina mobil listrik makin didepan jauh meninggalkan pabrik otomotif dari jepang dan eropa itu kenyataannya
340,"Batrai menyatu sama lantainya, nanti kalau mau ganti batrai gak bisa dong",netral,batrai menyatu sama lantainya nanti kalau mau ganti batrai gak bisa dong
341,"hehe yakin bisa kalahkan kefuturistikan mobil2 china sekarang, aku ragu sih karena yg saya tau japan car dari dulu hanya bisa konsep2 doang kaga ngejual mobil2nya yg futuristik palingan juga tungguin gen z punya anak dulu baru dijual, itupun toyota aja make platform teknologi nya byd. kita tunggu wae bakal kyk apa mobil japan kebanggan orang2 budiman ini bertindak sejauh apa",negatif,hehe yakin bisa kalahkan kefuturistikan mobil2 china sekarang aku ragu sih karena yg saya tau japan car dari dulu hanya bisa konsep2 doang kaga ngejual mobil2nya yg futuristik palingan juga tungguin gen z punya anak dulu baru dijual itupun toyota aja make platform teknologi nya byd kita tunggu wae bakal kyk apa mobil japan kebanggan orang2 budiman ini bertindak sejauh apa
342,"Waduhhh.. masih konsep.. batre aja paling2 beli dari BYD atau pabrikan China lainnya.. kalau toh harga bisa bantai mobil China justru lebih baik.... Nanti toh mobil China akan banting harga di bawah Suzuki lagi. Di negara jepang aja sdh banyak pabrik2 yg mati kalah saing dengan produk2 China. Lihat nanti, judul aja yg provokasi 😂😂😂",positif,waduhhh masih konsep batre aja paling2 beli dari byd atau pabrikan china lainnya kalau toh harga bisa bantai mobil china justru lebih baik nanti toh mobil china akan banting harga di bawah suzuki lagi di negara jepang aja sdh banyak pabrik2 yg mati kalah saing dengan produk2 china lihat nanti judul aja yg provokasi 
343,Lambat amat keburu pasarnya disikat mobil cina.. atau korea,negatif,lambat amat keburu pasarnya disikat mobil cina atau korea
344,Klo emg hrganya worth gw pasti pilih suzuki.,positif,klo emg hrganya worth gw pasti pilih suzuki
345,"Inilah Pesawat Masa Depan Indonesa, Karya anak Bangsa, digerakkan dengan Baterei
Hanya diputar dengan Motor Listrik dan Terbang
Terbang di hampa udara
Kapasitas Angkut lebih dari 100 ton

SATU untuk Semua Kegunaan, tidak perlu Tank KapalLaut KapalSelam Helikopter, karena bisa Menyelam Terbang dalam SegalaCuaca, AntiPeluru, Tidak perlu Pelabuhan Lapangan terbang/landasan-pacu, mudah membuatnya & murah     

Ada dua macam kendaraan yang pada umumnya dipakai manusia dalam sejarah hidupnya di dunia kini yaitu : yang memakai tenaga menolak untuk maju seperti hewan, mobil, kapal laut atau kapal udara: Yang lainnya memakai tenaga lenting atau centrifugal seperti pesawat piring terbang. Kedua macam kendaraan ini  disebutkan dengan benda terapung dan ternak. Yang dimaksud dengan ternak ialah kuda, unta, keledai. dan sebagainya. Dan benda terapung ialah segala macam kendaraan yang diwujudkan oleh teknologi manusia termasuk dalamnya piring terbang.

Suatu cara ialah dengan memutar bahagian pesawat secara horizontal. Bila putaran itu semakin cepat akan semakin besarlah daya centrifugal dan semakin kecillah daya gravity, akhirnya daya jatuh ini akan hilang sama sekali dan mulailah pesawat terangkat dengan mudah tanpa pengaruh tarikan Bumi. Tentu orang akan heran: bagaimana pula pesawat dapat berputar terus tanpa tumpuan? Dari itulah kita namakan pesawat itu dengan Shuttling System yaitu pesawat berupa piring dempet yang di tengahnya tempat penompang :

A. Bahagian Atas, kita namakan Positif berputar ke kanan, semakin ke pinggir massanya lebih tebal dan berat.
B. Bahagian Bawah, kita namakan Negatif, berputar ke kiri, semakin ke pinggir massanya lebih tebal dan berat.
C. Bahagian Tengah, kita namakan Neutral, tempat awak pesawat serta perlengkapan dan mesin yang memutar Positif dan Negatif sekaligus.

Praktis pesawat akan terangkat ditambah dengan ledakan seperlunya untuk tenaga pembelok dan untuk penambahan kecepatan sewaktu berada di angkasa tanpa bobot. Walau bagaimanapun konstruksi pesawat itu nantinya, kita serahkan kepada para sarjana, tetapi kita yakin nantinya akan terwujud sebagai pesawat kebal peluru dan tak memerlukan landasan tertentu karena dia dapat berdiri diam di angkasa dan yang lebih hebat lagi ialah bahwa pesawat itu tentunya water proof yang kalau perlu dia dapat langsung masuk lautan dan keluar lagi menurut semaunya.",positif,inilah pesawat masa depan indonesa karya anak bangsa digerakkan dengan batereihanya diputar dengan motor listrik dan terbangterbang di hampa udarakapasitas angkut lebih dari 100 tonsatu untuk semua kegunaan tidak perlu tank kapallaut kapalselam helikopter karena bisa menyelam terbang dalam segalacuaca antipeluru tidak perlu pelabuhan lapangan terbanglandasanpacu mudah membuatnya  murah     ada dua macam kendaraan yang pada umumnya dipakai manusia dalam sejarah hidupnya di dunia kini yaitu  yang memakai tenaga menolak untuk maju seperti hewan mobil kapal laut atau kapal udara yang lainnya memakai tenaga lenting atau centrifugal seperti pesawat piring terbang kedua macam kendaraan ini  disebutkan dengan benda terapung dan ternak yang dimaksud dengan ternak ialah kuda unta keledai dan sebagainya dan benda terapung ialah segala macam kendaraan yang diwujudkan oleh teknologi manusia termasuk dalamnya piring terbangsuatu cara ialah dengan memutar bahagian pesawat secara horizontal bila putaran itu semakin cepat akan semakin besarlah daya centrifugal dan semakin kecillah daya gravity akhirnya daya jatuh ini akan hilang sama sekali dan mulailah pesawat terangkat dengan mudah tanpa pengaruh tarikan bumi tentu orang akan heran bagaimana pula pesawat dapat berputar terus tanpa tumpuan dari itulah kita namakan pesawat itu dengan shuttling system yaitu pesawat berupa piring dempet yang di tengahnya tempat penompang a bahagian atas kita namakan positif berputar ke kanan semakin ke pinggir massanya lebih tebal dan beratb bahagian bawah kita namakan negatif berputar ke kiri semakin ke pinggir massanya lebih tebal dan beratc bahagian tengah kita namakan neutral tempat awak pesawat serta perlengkapan dan mesin yang memutar positif dan negatif sekaliguspraktis pesawat akan terangkat ditambah dengan ledakan seperlunya untuk tenaga pembelok dan untuk penambahan kecepatan sewaktu berada di angkasa tanpa bobot walau bagaimanapun konstruksi pesawat itu nantinya kita serahkan kepada para sarjana tetapi kita yakin nantinya akan terwujud sebagai pesawat kebal peluru dan tak memerlukan landasan tertentu karena dia dapat berdiri diam di angkasa dan yang lebih hebat lagi ialah bahwa pesawat itu tentunya water proof yang kalau perlu dia dapat langsung masuk lautan dan keluar lagi menurut semaunya
346,Ayo suzuki. Betulan. Jangan php. Konsumen gak urus mobil negara mana. Penting bagus. Murah dibanding apa yg ditawarkan,positif,ayo suzuki betulan jangan php konsumen gak urus mobil negara mana penting bagus murah dibanding apa yg ditawarkan
347,"sama..
biasanya desain suzuki nanggung, bagus enggak jelek enggak.
desain ini too good to be true",negatif,samabiasanya desain suzuki nanggung bagus enggak jelek enggakdesain ini too good to be true
348,"Untuk pasar indo dan india mungkin iya, tapi dijepang kemungkinan akan seperti itu... 😂😂😂",positif,untuk pasar indo dan india mungkin iya tapi dijepang kemungkinan akan seperti itu 
349,kacoww cok velgnya tuh kaya dateng dari beda dunia gitu pooll wkkwk,positif,kacoww cok velgnya tuh kaya dateng dari beda dunia gitu pooll wkkwk
350,"walaupun blm dijual, tp kayaknya peminatnya udah ngantri nih buat booking wkwkw",positif,walaupun blm dijual tp kayaknya peminatnya udah ngantri nih buat booking wkwkw
351,"thanksss bang videonya, jadi bisa liat interior si evx ini gokil cakepp benere",positif,thanksss bang videonya jadi bisa liat interior si evx ini gokil cakepp benere
352,"desainnya futuristik dan fiturnya fiturnya lengkap banget yaak, gas bungkus ini wkwk",positif,desainnya futuristik dan fiturnya fiturnya lengkap banget yaak gas bungkus ini wkwk
353,Woooowww kren❤,positif,woooowww kren
354,"kenapa bukan ini aja yang vitara gasoline atau hybrid. bisa autokiller yaris cross dan hrv. 
orang yang beli molis itu bukan dijadikan mobil pertama. pasti ke 3 atau ke 4.",positif,kenapa bukan ini aja yang vitara gasoline atau hybrid bisa autokiller yaris cross dan hrv orang yang beli molis itu bukan dijadikan mobil pertama pasti ke 3 atau ke 4
355,jepang mah udah kebaca… bisanya cuma show off.. paling juga mobil model begini cuma jadi wacana,negatif,jepang mah udah kebaca bisanya cuma show off paling juga mobil model begini cuma jadi wacana
356,"menit 2:04 ahahaha
kl gitu modelnya, gk bakal laku masuk indo..
badan besar, velg+ban kecil
kyk body2 design toyota termasuk innova zennix
badannya besar, kakinya kecil
trex trex namanya wkwkwwkk",negatif,menit 204 ahahahakl gitu modelnya gk bakal laku masuk indobadan besar velgban kecilkyk body2 design toyota termasuk innova zennixbadannya besar kakinya keciltrex trex namanya wkwkwwkk
357,"Yg lain sibuk jualan, sibuk buka pabrik, eh semua brand"" sakura masih sibuk bikin konsep 😂

Bener"" generasinya menua kekurangan anak muda, jadi semua inovasinya serba lambat",negatif,yg lain sibuk jualan sibuk buka pabrik eh semua brand sakura masih sibuk bikin konsep bener generasinya menua kekurangan anak muda jadi semua inovasinya serba lambat
358,Mantap Suzuki EVX ini,positif,mantap suzuki evx ini
359,Mobil masa depan,positif,mobil masa depan
360,gile keren banget,positif,gile keren banget
361,Memyala Suzuki kuhh.. 🔥,positif,memyala suzuki kuhh 
362,"Cuma dipameri blm dijual, males ah. Ntar baru ngecek kl sdh ada dipasaran. Apa masih sebagus prototype tsb, atau ternyata  di downgrade dari ""Futuristic"" Menjadi ""Presentistic"".",positif,cuma dipameri blm dijual males ah ntar baru ngecek kl sdh ada dipasaran apa masih sebagus prototype tsb atau ternyata  di downgrade dari futuristic menjadi presentistic
363,"Sumpah kagum liat suzuki EVX dan kagum liat tampang baru suzuki CARRY
Semoga suzuki membuat gebrakan besar di pasar mobil indonesia.",positif,sumpah kagum liat suzuki evx dan kagum liat tampang baru suzuki carrysemoga suzuki membuat gebrakan besar di pasar mobil indonesia
364,Ngeriii ini,positif,ngeriii ini
365,"Kenapa desain secakep ini ngga dibuat versi produksi sekalian? Versi produksi selalu didowngrade. Padahal dari sisi biaya manufaktur antara desain konsep dan produksi massal (mestinya) tidak selisih terlalu banyak.
Kalau desain konsep seperti ini bener-bener diproduksi, kemungkinan besar akan sukses luar biasa diterima market",positif,kenapa desain secakep ini ngga dibuat versi produksi sekalian versi produksi selalu didowngrade padahal dari sisi biaya manufaktur antara desain konsep dan produksi massal mestinya tidak selisih terlalu banyakkalau desain konsep seperti ini benerbener diproduksi kemungkinan besar akan sukses luar biasa diterima market
366,Wah keren nih,positif,wah keren nih
367,"Begitu lah jepang ngak asal luncurin produk EV, ngak kayak produk china glodokk😅😅",positif,begitu lah jepang ngak asal luncurin produk ev ngak kayak produk china glodokk
368,"suzuki dgn design prindafan tb"" comeback dgn konsep futuristik gni berasa terpana WWKWKWKWK",positif,suzuki dgn design prindafan tb comeback dgn konsep futuristik gni berasa terpana wwkwkwkwk
369,"Yaelah ev brand china & korea sdh masuk produksi seri kesekian, produsen jepang cuman pamer konsep doank ... ujung2nya dijual dgn harga yg fantastis tp fitur yg kalah jauh ama china & korea ... mensedih",negatif,yaelah ev brand china  korea sdh masuk produksi seri kesekian produsen jepang cuman pamer konsep doank  ujung2nya dijual dgn harga yg fantastis tp fitur yg kalah jauh ama china  korea  mensedih
370,"Tumben Design suzuki futuristik mirip2 design mitsubishi, di otomotif design suzuki sangat membosankan jelek dan kotak",positif,tumben design suzuki futuristik mirip2 design mitsubishi di otomotif design suzuki sangat membosankan jelek dan kotak
371,Selalu terlambat mengambil keputusan masuk indo,negatif,selalu terlambat mengambil keputusan masuk indo
372,"Konsep nya bagus . Pas jadi aslinya biasanya selera prindavan or jauh dari model konsep nya... 

Jepang lama2 ketinggalan jauh dari cina 😂",positif,konsep nya bagus  pas jadi aslinya biasanya selera prindavan or jauh dari model konsep nya jepang lama2 ketinggalan jauh dari cina 
373,"kalo suzuki mau produksi, harus bisa semirip mungkin dengan desain konsep ini karena orang indonesia suka sama yang desain kaya gini. tapi harga harus dibawah 500, apalagi kalo bisa 400 kecil sih bakal gokil karena mobil listrik di kelas crossover atau compact SUV itu kurleb main di harga segitu, tapi kalo bisa lebih murah dari kompetitor bakal gokil sih.
*catatan: Suzuki harus melakukan survey dan questioner ke media otomotif, customer suzuki,  dan orang umum, untuk memaksimalkan produk yang akan diproduksi.",positif,kalo suzuki mau produksi harus bisa semirip mungkin dengan desain konsep ini karena orang indonesia suka sama yang desain kaya gini tapi harga harus dibawah 500 apalagi kalo bisa 400 kecil sih bakal gokil karena mobil listrik di kelas crossover atau compact suv itu kurleb main di harga segitu tapi kalo bisa lebih murah dari kompetitor bakal gokil sihcatatan suzuki harus melakukan survey dan questioner ke media otomotif customer suzuki  dan orang umum untuk memaksimalkan produk yang akan diproduksi
374,Concept doank..🤣🤣,negatif,concept doank
375,"Kalo dijual di indo, harus ada unsur india nya wkwkw",negatif,kalo dijual di indo harus ada unsur india nya wkwkw
376,Vitara EV,positif,vitara ev
377,"Nanti harga brosur 100, tapi harus beli second di 200 gak nih?",negatif,nanti harga brosur 100 tapi harus beli second di 200 gak nih
378,Harganya di goreng,negatif,harganya di goreng
379,"Next g usah video HDR lg dong, banyak mudhorot drpd manfaatnya",negatif,next g usah video hdr lg dong banyak mudhorot drpd manfaatnya
380,"Padahal mobil suzuki nyaman, spek karimun aja nyaman, apa lagi yg lain",positif,padahal mobil suzuki nyaman spek karimun aja nyaman apa lagi yg lain
381,Hmm ... Bg HillStartAssist dari India ?,netral,hmm  bg hillstartassist dari india 
382,Kayak fronx ga sih,netral,kayak fronx ga sih
383,Info mbakar-mbakar booth toyota dan membunuh massal sales-salesnya di giias 2024,negatif,info mbakarmbakar booth toyota dan membunuh massal salessalesnya di giias 2024
384,"jangan pernah percaya mobil concept Suzuki, karena mereka selalu bikin mobil versi produksinya jauh lebih jelek.. so jangan berharap banyak. kecuali kalau conceptnya yg versi mass prod seperti SWIFT gen terbaru kemaren yg sebenernya mobil mass prod tapi dinamai concept",negatif,jangan pernah percaya mobil concept suzuki karena mereka selalu bikin mobil versi produksinya jauh lebih jelek so jangan berharap banyak kecuali kalau conceptnya yg versi mass prod seperti swift gen terbaru kemaren yg sebenernya mobil mass prod tapi dinamai concept
385,"wihh cakep jg ya, tahun depan beli deh",positif,wihh cakep jg ya tahun depan beli deh
386,The next generation 😊,positif,the next generation 
387,Ternyata Suzuki bisa buat mobil cakep 😂,positif,ternyata suzuki bisa buat mobil cakep 
388,"sukaaa modelnya, semoga bisa kebeli nanti yh",positif,sukaaa modelnya semoga bisa kebeli nanti yh
389,"Mobil konsep doang, dijuap 5-10 tahun lagi. Beda sama china, gak bikin mobil konsep konsepan. Produksi langsung jual .",negatif,mobil konsep doang dijuap 510 tahun lagi beda sama china gak bikin mobil konsep konsepan produksi langsung jual 
390,"mantapp suzuki, otw beli ini",positif,mantapp suzuki otw beli ini
391,"udah cepet diluncurkan, daripada desainnya di contek pesaing lagi wkwk",positif,udah cepet diluncurkan daripada desainnya di contek pesaing lagi wkwk
392,pake baterai LFP atau NCM nih? kalo NCM  pasti mahal,negatif,pake baterai lfp atau ncm nih kalo ncm  pasti mahal
393,"Tolong kualitas audionya dibenahi lagi, 
Suara host nya kecel beud",negatif,tolong kualitas audionya dibenahi lagi suara host nya kecel beud
394,Apasih ini intro videonya panjang bgt,negatif,apasih ini intro videonya panjang bgt
395,"Ev pertama dari suzuki ...

Emang dari dulu suzuki slalu telat buat fomo2an 😂",negatif,ev pertama dari suzuki emang dari dulu suzuki slalu telat buat fomo2an 
396,rada males sama merk suzuki... dikit2 suntik mati,negatif,rada males sama merk suzuki dikit2 suntik mati
397,Kebanyakan konsep ujung2nya kalah dgn produk china,negatif,kebanyakan konsep ujung2nya kalah dgn produk china
398,"Mobil prindapan, skip dah",negatif,mobil prindapan skip dah
399,"Cakep bener modelnya... kalau harganya setara dg BYD jelas ini bisa menghambat EV China di Indo.... kualitas Suzuki jelas bagus, apalagi cakep bentuknya....:face-red-heart-shape:",positif,cakep bener modelnya kalau harganya setara dg byd jelas ini bisa menghambat ev china di indo kualitas suzuki jelas bagus apalagi cakep bentuknyafaceredheartshape
400,1500 cc tranmisi at bkin produksi dah suzuki...,positif,1500 cc tranmisi at bkin produksi dah suzuki
401,keren sih ini,positif,keren sih ini
402,"Merek lain produk baru, merek ini pamerin konsep yang udah lama... cape deh...",negatif,merek lain produk baru merek ini pamerin konsep yang udah lama cape deh
403,Lebih cakep daripada design Mitsubishi,positif,lebih cakep daripada design mitsubishi
404,Kok format videonya ada HDR?,negatif,kok format videonya ada hdr
405,"D india ni mobil ""udh jadi"" n lgi d tes jln, bbrpa x ad poto ny",positif,d india ni mobil udh jadi n lgi d tes jln bbrpa x ad poto ny
406,"Suzuki kalo dihandle China mungkin udah keluar produk2 inovatif terbaru kali..ketinggalan amat sih Jepang, bahkan Honda aja baru aja muncul konsep EN-1 nya setelah sekian lama. Kalah ama korea udah sampe Ioniq5N...",negatif,suzuki kalo dihandle china mungkin udah keluar produk2 inovatif terbaru kaliketinggalan amat sih jepang bahkan honda aja baru aja muncul konsep en1 nya setelah sekian lama kalah ama korea udah sampe ioniq5n
407,cuma mitsubishi yg consep ama produksi mirip2,positif,cuma mitsubishi yg consep ama produksi mirip2
408,"Byd udh jualan 7seater ev harga gila, ini baru konsep 🫣",negatif,byd udh jualan 7seater ev harga gila ini baru konsep 
409,NGIMPI 😊😊😊,negatif,ngimpi 
410,"Bentar lagi kayaknya suzuki bakalan dibeli sama china

Seperti volvo",negatif,bentar lagi kayaknya suzuki bakalan dibeli sama chinaseperti volvo
411," @whatyougetwhatyousee  Seperti inilah sepantasnya teknologi dan desain mobil masa kini.
Mobil baru yang sekarang ini dijual (khususnya mobil Jepang) adalah mobil masa lalu yang sudah sangat ketinggalan dari sisi desain dan teknologi",positif,whatyougetwhatyousee seperti inilah sepantasnya teknologi dan desain mobil masa kinimobil baru yang sekarang ini dijual khususnya mobil jepang adalah mobil masa lalu yang sudah sangat ketinggalan dari sisi desain dan teknologi
412,"Mudah2an, dan harga nya ngo tak",positif,mudah2an dan harga nya ngo tak
413,Suzuki the next generation 😊,positif,suzuki the next generation 
414,Sekalianya keluar harganya di goreng 😂😂😂,negatif,sekalianya keluar harganya di goreng 
415,Masih menunggu all new ertiga dan xl7. Beli mobil kalau gak 7 seater gak afdol,positif,masih menunggu all new ertiga dan xl7 beli mobil kalau gak 7 seater gak afdol
416,Semoga harganya membumi tidak sundul langit.,positif,semoga harganya membumi tidak sundul langit
417,HDR bikin plain warnanya di mayoritas HP bang...,negatif,hdr bikin plain warnanya di mayoritas hp bang
418,Kek bkn Suzuki aja... Biasa belakang nya jelek bgt... Ini gw suka,positif,kek bkn suzuki aja biasa belakang nya jelek bgt ini gw suka
419,"Suzuki baik motor maupun mobil biasanya hanya bagus di konsep.
Begitu produk beneran.....😊",positif,suzuki baik motor maupun mobil biasanya hanya bagus di konsepbegitu produk beneran
420,Hadeh masih konsep.,negatif,hadeh masih konsep
421,"Mirip muka ikan lohan, mantap ini. Serasa melihat ikan purba.",positif,mirip muka ikan lohan mantap ini serasa melihat ikan purba
422,Inilah kenapa Suzuki dan Honda terpaksa stop produksinya di Thailand yg lagi demam EV. Merk lain udah banyak yg jualan EV ini masih pamerin konsep EV.,negatif,inilah kenapa suzuki dan honda terpaksa stop produksinya di thailand yg lagi demam ev merk lain udah banyak yg jualan ev ini masih pamerin konsep ev
423,wow interior nya keren. 400jt deh biar aku bisa beli :hand-pink-waving:,positif,wow interior nya keren 400jt deh biar aku bisa beli handpinkwaving
424,paling klo final produknya full chrome lagi ala prindavan...oh nehii..,negatif,paling klo final produknya full chrome lagi ala prindavanoh nehii
425,mnding jdiin bensin aja. blom cocok ev,negatif,mnding jdiin bensin aja blom cocok ev
426,"Yang lain udah jualan ini masih pamer konsep 😂 oiya ini kan pameran, ya bener pamer aja gak jualan 😊",negatif,yang lain udah jualan ini masih pamer konsep  oiya ini kan pameran ya bener pamer aja gak jualan 
427,"suzuki asli jepang sih bagus. tapi suzuki itu kek lebih menghargai negara yang akan dia produksi massal.
dalam artian lebih ke UKM di negara lokal ( bukan build Japan).


mirip kek malaysia lah.
apapun merek kendaraan masuk wilayah malaysia harus ganti namanya PERODUA.
alhasil akan banyak rombakan modifikasi yang tentunya berbeda dengan produksi dari kendaraan luar yang kita ketahui secara garis besar. Makanya xenia-avanza di malaysia koq lebih berkarakter dibanding dengan indonesia.


lucunya lagi karena cost kirim kendaraan dari jepang mungkin mahal ke indonesia, maka di kirim dari india yang selera india banget ke indonesia guna mengurangi biaya pengiriman part2 kendaraan dari jepang.
Seperti Suzuki esspreso yang kek gak selera banget untuk indonesia. Tapi koq suzuki tetap pede aja ya ?heran.


ya semoga bisa lebih mengerti selera indonesia aja sih.
sama perbanyakin dong bengkel suzuki khususnya motor. kami dari bogor kesulitan servis resmi motornya. Mana yang servis umum katanya ahli eh malah main tarik kabel temperatur mesin.",positif,suzuki asli jepang sih bagus tapi suzuki itu kek lebih menghargai negara yang akan dia produksi massaldalam artian lebih ke ukm di negara lokal  bukan build japanmirip kek malaysia lahapapun merek kendaraan masuk wilayah malaysia harus ganti namanya peroduaalhasil akan banyak rombakan modifikasi yang tentunya berbeda dengan produksi dari kendaraan luar yang kita ketahui secara garis besar makanya xeniaavanza di malaysia koq lebih berkarakter dibanding dengan indonesialucunya lagi karena cost kirim kendaraan dari jepang mungkin mahal ke indonesia maka di kirim dari india yang selera india banget ke indonesia guna mengurangi biaya pengiriman part2 kendaraan dari jepangseperti suzuki esspreso yang kek gak selera banget untuk indonesia tapi koq suzuki tetap pede aja ya heranya semoga bisa lebih mengerti selera indonesia aja sihsama perbanyakin dong bengkel suzuki khususnya motor kami dari bogor kesulitan servis resmi motornya mana yang servis umum katanya ahli eh malah main tarik kabel temperatur mesin
428,"Ku suka mobil Suzuki EV, keren..",positif,ku suka mobil suzuki ev keren
429,tumben banget mobil konsep boleh dipegang + bisa liat dalamnya,positif,tumben banget mobil konsep boleh dipegang  bisa liat dalamnya
430,masih konsep bae smpe nnt suzukiny kbru bangkrut 😔,negatif,masih konsep bae smpe nnt suzukiny kbru bangkrut 
431,Dalam sejarahnya mobil konsep suzuki selalu jauh dari yg dijual...,negatif,dalam sejarahnya mobil konsep suzuki selalu jauh dari yg dijual
432,Keren coooo,positif,keren coooo
433,mitsubishi xforce electric,netral,mitsubishi xforce electric
434,NGIMPI 😊😊😊,netral,ngimpi 
435,Mksdnya ngimpi gmn nih  @djinggo2296  ? Lu ngimpi basah?🤣🤣🤣,netral,mksdnya ngimpi gmn nih djinggo2296  lu ngimpi basah
436,"wkwk stuju, kyknya anak2 gua jg anteng sih kalo dibawa pake ini bisa liat keatas mulu hehe",positif,wkwk stuju kyknya anak2 gua jg anteng sih kalo dibawa pake ini bisa liat keatas mulu hehe
437,Goodlah fast Charging...,positif,goodlah fast charging
438,"jangan lupa interior nya kak, stylish dan mevvah banget itu",positif,jangan lupa interior nya kak stylish dan mevvah banget itu
439,"Mudah2an, soalnya mobil listrik pasti Mahal",positif,mudah2an soalnya mobil listrik pasti mahal
440,Dari Panjangnya Bakal Lawan Hyundai Kona Yg lama terus ada Honda EN1 aka HRV EV terus ada MG ZS EV ada lagi BYD ATTO 3 dan Omoda 5eV,netral,dari panjangnya bakal lawan hyundai kona yg lama terus ada honda en1 aka hrv ev terus ada mg zs ev ada lagi byd atto 3 dan omoda 5ev
441,Paling lawannya jetli,netral,paling lawannya jetli
442, @muhammadadityabudiman8036  eh kan kona yang baru udah keluar kan,netral,muhammadadityabudiman8036 eh kan kona yang baru udah keluar kan
443,"Yang laen dah jual 11.000 unit baru mau keluarin 2025 😅😅 emang kocak lu Suzuki.. Bukan pelopor tapi cuma ekor... 
Pantes motor lu ga begitu laku, selain cuma pengekor tapi model nya kocak bukan selera kebanyakan orang Indonesia.. Orang mah minimal riset.. Yang paling laku di Indonesia apa jiplak aja dlu..",negatif,yang laen dah jual 11000 unit baru mau keluarin 2025  emang kocak lu suzuki bukan pelopor tapi cuma ekor pantes motor lu ga begitu laku selain cuma pengekor tapi model nya kocak bukan selera kebanyakan orang indonesia orang mah minimal riset yang paling laku di indonesia apa jiplak aja dlu
444,Mobil suzuki rangka kerupuk yang tidak aman yang mengancam nyawa keluarga anda.,negatif,mobil suzuki rangka kerupuk yang tidak aman yang mengancam nyawa keluarga anda
445,Logo S  nya terkesan jadul,negatif,logo s  nya terkesan jadul
446,Yah masih konsep. Jauh ketinggalan sama mobil China saat ini.,negatif,yah masih konsep jauh ketinggalan sama mobil china saat ini
447,"Suzuki Japan memang oke, siap gilas ev yg lain. Suzuki bisa paling murah dibanding semua EV. Apalagi jika sudah muncul versi  EV LCGC.....mantab...",positif,suzuki japan memang oke siap gilas ev yg lain suzuki bisa paling murah dibanding semua ev apalagi jika sudah muncul versi  ev lcgcmantab
448,cukup menghalangi pandangan layarnya....,negatif,cukup menghalangi pandangan layarnya
449,Kapan Indonesia punya produk sendiri?,netral,kapan indonesia punya produk sendiri
450,Yakin mau untung tipis,positif,yakin mau untung tipis
451,Yg bensin nya aja belum kebeli...,netral,yg bensin nya aja belum kebeli
452,semua ev akan BYD pada waktunya,netral,semua ev akan byd pada waktunya
453,"salfok sama aditornya carmudi! keren editannya 
:face-blue-wide-eyes:",positif,salfok sama aditornya carmudi keren editannya facebluewideeyes
454,Suzuki klo mobil totalitas banget,positif,suzuki klo mobil totalitas banget
